date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,assigned_shares,assigned_basis
2019-03-26,TQQQ_Full_35_20_45,TQQQ,21,insurance,OPEN,put,1.0,6.0,2019-06-21,199,7.02,0.4376659851672253,0.42234767568637244,0.4529842946480782,0.4529842946480782,0.6885763725945117,-0.2570201885460811,-9014.387463496758,-434.18435866897244,434.18435866897244,RISK_WARNING_INSURANCE_ENTRY,,
2019-03-26,TQQQ_Full_35_20_45,TQQQ,21,insurance,OPEN,put,-1.0,4.5,2019-06-21,199,7.02,0.1737313298648605,0.1637313298648605,0.18373132986486052,0.1637313298648605,0.8697806811720148,-0.10145031765641832,3258.2534643107238,-328.35000000000014,328.35000000000014,RISK_WARNING_INSURANCE_ENTRY,,
2019-04-02,TQQQ_Full_35_20_45,TQQQ,21,insurance,CLOSE,put,1.0,6.0,2019-06-21,199,7.4425,0.3135969142507411,0.30262102225196513,0.32457280624951707,0.30262102225196513,0.6895621260881183,-0.19897554925521466,6022.158342814107,-347.7702507756417,347.7702507756417,INSURANCE_RECOVERY_EXIT,,
2019-04-02,TQQQ_Full_35_20_45,TQQQ,21,insurance,CLOSE,put,-1.0,4.5,2019-06-21,199,7.4425,0.10864284854905093,0.09864284854905093,0.11864284854905092,0.11864284854905092,0.8510730990170204,-0.07006201919198041,-2360.9926861261133,-328.3499999999999,328.3499999999999,INSURANCE_RECOVERY_EXIT,,
2019-05-02,TQQQ_Full_35_20_45,TQQQ,22,covered_call,OPEN,call,-1.0,9.5,2019-06-21,91,8.0663,0.1707757509995662,0.1607757509995662,0.18077575099956622,0.1607757509995662,0.49822940776912394,0.21860370087680492,1463.0593340960522,-150.1500000000001,150.1500000000001,GREED_EXHAUSTION_COVERED_CALL,,
2019-05-03,TQQQ_Full_35_20_45,TQQQ,23,cash_secured_put,OPEN,put,-1.0,7.0,2019-06-21,245,8.4462,0.197762772017249,0.187762772017249,0.20776277201724902,0.187762772017249,0.6247636433823973,-0.17121512005200812,4600.187914422601,-404.2500000000002,404.2500000000002,CONDITIONAL_ENTRY_CSP,,
2019-05-08,TQQQ_Full_35_20_45,TQQQ,22,covered_call,CLOSE,call,-1.0,9.5,2019-06-21,91,7.7438,0.14679348758802235,0.13679348758802234,0.15679348758802236,0.15679348758802236,0.585132994642105,0.18670325679573102,-1426.8207370510036,-150.1500000000001,150.1500000000001,CALL_STATE_EXIT,,
2019-05-08,TQQQ_Full_35_20_45,TQQQ,24,insurance,OPEN,put,1.0,6.5,2019-07-19,112,7.7438,0.41876174044153647,0.4041050795260827,0.4334184013569902,0.4334184013569902,0.7350279795248156,-0.23753666653487215,-4854.28609519829,-236.95460225308204,236.95460225308204,RISK_WARNING_INSURANCE_ENTRY,,
2019-05-08,TQQQ_Full_35_20_45,TQQQ,24,insurance,OPEN,put,-1.0,5.0,2019-07-19,112,7.7438,0.170131355386817,0.160131355386817,0.18013135538681702,0.160131355386817,0.9071298530802383,-0.0969499116059831,1793.4711803323503,-184.8000000000001,184.8000000000001,RISK_WARNING_INSURANCE_ENTRY,,
2019-05-17,TQQQ_Full_35_20_45,TQQQ,24,insurance,CLOSE,put,1.0,6.5,2019-07-19,84,7.355,0.39059416366328836,0.37692336793507325,0.4042649593915035,0.37692336793507325,0.6578891206089039,-0.27293859865842884,3166.156290654615,-169.43468411700695,169.43468411700695,INSURANCE_PARTIAL_MONETIZATION,,
