date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,candidate_id
2022-11-08,I015,QQQ,12,insurance,CLOSE,put,1,287.0,2022-11-18,4,269.54,18.017577631379908,17.56713819059541,18.468017072164404,17.56713819059541,0.3153,-0.8763686112267048,7026.855276238164,-182.7757763137985,182.7757763137985,INSURANCE_DTE_ROLL,I015
2022-11-08,I015,QQQ,12,insurance,CLOSE,put,-1,253.0,2022-11-18,4,269.54,0.9645669992541812,0.9404528242728267,0.9886811742355357,0.9886811742355357,0.3443220115752765,-0.1236617144254248,-395.4724696942143,-12.245669992541794,12.245669992541794,INSURANCE_DTE_ROLL,I015
2023-03-14,I015,QQQ,13,insurance,OPEN,put,1,271.0,2023-06-16,8,297.37,8.472692470269436,8.2608751585127,8.684509782026172,8.684509782026172,0.3460580937641677,-0.24859988509188122,-6947.607825620938,-174.6538494053887,174.6538494053887,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2023-03-14,I015,QQQ,13,insurance,OPEN,put,-1,237.0,2023-06-16,8,297.37,3.134980226241691,3.0566057205856487,3.213354731897733,3.0566057205856487,0.3984405610253461,-0.10075182117527043,2445.284576468519,-67.89960452483368,67.89960452483368,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2023-06-06,I015,QQQ,13,insurance,CLOSE,put,1,271.0,2023-06-16,8,354.84,6.779618491986603e-11,0.0,0.010000000067796186,0.0,0.2511082177882989,-3.118648159607556e-11,0.0,-5.200000054236948,5.200000054236948,INSURANCE_DTE_ROLL,I015
2023-06-06,I015,QQQ,13,insurance,CLOSE,put,-1,237.0,2023-06-16,8,354.84,0.0,0.0,0.01,0.01,0.2777551572539736,0.0,-8.0,-13.2,13.2,INSURANCE_DTE_ROLL,I015
2023-09-27,I015,QQQ,14,insurance,OPEN,put,1,333.0,2023-12-15,2,355.04,6.639036294456417,6.473060387095007,6.805012201817828,6.805012201817828,0.2578408039069073,-0.24668930192858887,-1361.0024403635655,-34.495181472282084,34.495181472282084,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2023-09-27,I015,QQQ,14,insurance,OPEN,put,-1,305.0,2023-12-15,2,355.04,2.318199775704187,2.2602447813115822,2.3761547700967918,2.2602447813115822,0.2857442147909323,-0.09836568013364008,452.04895626231644,-12.890998878520953,12.890998878520953,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2023-12-05,I015,QQQ,14,insurance,CLOSE,put,1,333.0,2023-12-15,2,387.29,9.487328625588194e-06,0.0,0.010009487328625588,0.0,0.20562466756177541,-3.4949707586450465e-06,0.0,-1.3018974657251177,1.3018974657251177,INSURANCE_DTE_ROLL,I015
2023-12-05,I015,QQQ,14,insurance,CLOSE,put,-1,305.0,2023-12-15,2,387.29,8.794913604878505e-11,0.0,0.010000000087949136,0.010000000087949136,0.22404962043946397,-4.132171675838381e-11,-2.0000000175898274,-3.3,3.3,INSURANCE_DTE_ROLL,I015
2024-08-06,I015,QQQ,15,insurance,OPEN,put,1,412.0,2024-11-15,8,439.53,8.945791837174923,8.72214704124555,9.169436633104295,9.169436633104295,0.24256721920912425,-0.25018892460303455,-7335.549306483436,-184.11583674349788,184.11583674349788,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2024-08-06,I015,QQQ,15,insurance,OPEN,put,-1,375.0,2024-11-15,8,439.53,3.164845894390801,3.085724747031031,3.243967041750571,3.085724747031031,0.2705659311440411,-0.10044611153493724,2468.579797624825,-68.49691788781595,68.49691788781595,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2024-08-09,I015,QQQ,15,insurance,CLOSE,put,1,412.0,2024-11-15,4,450.41,6.577435549193169,6.412999660463339,6.741871437922998,6.412999660463339,0.2462626916121037,-0.194238015339157,2565.1998641853356,-68.37435549193175,68.37435549193175,INSURANCE_PARTIAL_MONETIZATION,I015
2024-08-09,I015,QQQ,15,insurance,CLOSE,put,-1,375.0,2024-11-15,4,450.41,2.189611487455913,2.134871200269515,2.244351774642311,2.244351774642311,0.2731660514555598,-0.07279274013728869,-897.7407098569245,-24.496114874559204,24.496114874559204,INSURANCE_PARTIAL_MONETIZATION,I015
2024-11-05,I015,QQQ,15,insurance,CLOSE,put,1,412.0,2024-11-15,4,492.21,0.00027226806945652646,0.0,0.010272268069456527,0.0,0.27999862863411956,-5.1119960896914584e-05,0.0,-2.7089072277826105,2.7089072277826105,INSURANCE_DTE_ROLL,I015
2024-11-05,I015,QQQ,15,insurance,CLOSE,put,-1,375.0,2024-11-15,4,492.21,1.2394077695314785e-07,0.0,0.010000123940776953,0.010000123940776953,0.30536889742183215,-2.847881236584924e-08,-4.000049576310781,-6.6,6.6,INSURANCE_DTE_ROLL,I015
2024-12-20,I015,QQQ,16,insurance,OPEN,put,1,491.0,2025-03-21,2,518.66,8.720815532736538,8.502795144418124,8.93883592105495,8.93883592105495,0.21099145427824006,-0.2525429368332851,-1787.76718421099,-44.904077663682614,44.904077663682614,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2024-12-20,I015,QQQ,16,insurance,OPEN,put,-1,455.0,2025-03-21,2,518.66,3.010102326683878,2.934849768516781,3.085354884850975,2.934849768516781,0.23133161054178547,-0.1008555519110246,586.9699537033563,-16.350511633419373,16.350511633419373,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2025-03-10,I015,QQQ,16,insurance,CLOSE,put,1,491.0,2025-03-21,1,472.73,20.95827529328716,20.43431841095498,21.482232175619338,20.43431841095498,0.2884,-0.7609657687216563,2043.431841095498,-53.045688233217895,53.045688233217895,INSURANCE_PARTIAL_MONETIZATION,I015
2025-03-10,I015,QQQ,16,insurance,CLOSE,put,-1,455.0,2025-03-21,1,472.73,3.246506942893518,3.16534426932118,3.327669616465856,3.327669616465856,0.304624902164026,-0.22043093037427441,-332.76696164658557,-8.766267357233787,8.766267357233787,INSURANCE_PARTIAL_MONETIZATION,I015
2025-03-11,I015,QQQ,16,insurance,CLOSE,put,1,491.0,2025-03-21,1,471.6,21.51257076524962,20.97475649611838,22.05038503438086,20.97475649611838,0.287,-0.7889886149020718,2097.475649611838,-54.43142691312391,54.43142691312391,INSURANCE_DTE_ROLL,I015
2025-03-11,I015,QQQ,16,insurance,CLOSE,put,-1,455.0,2025-03-21,1,471.6,3.105462554501969,3.02782599063942,3.183099118364518,3.183099118364518,0.30215330788804073,-0.22301940849545324,-318.3099118364518,-8.413656386254914,8.413656386254914,INSURANCE_DTE_ROLL,I015
2025-03-19,I015,QQQ,17,insurance,OPEN,put,1,450.0,2025-06-20,7,480.89,9.225521079912525,8.994883052914712,9.456159106910338,9.456159106910338,0.24253992809197364,-0.24740186388653915,-6619.311374837237,-165.99661889846897,165.99661889846897,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2025-03-19,I015,QQQ,17,insurance,OPEN,put,-1,412.0,2025-06-20,7,480.89,3.2923487222235295,3.2100400041679413,3.3746574402791176,3.2100400041679413,0.2687617041861317,-0.10048648028112332,2247.028002917559,-62.1661026389117,62.1661026389117,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2025-04-04,I015,QQQ,17,insurance,CLOSE,put,1,450.0,2025-06-20,2,422.67,36.499906980935805,35.58740930641241,37.4124046554592,35.58740930641241,0.28415192153667906,-0.638345950224253,7117.481861282482,-183.79953490467875,183.79953490467875,INSURANCE_PARTIAL_MONETIZATION,I015
2025-04-04,I015,QQQ,17,insurance,CLOSE,put,-1,412.0,2025-06-20,2,422.67,16.20026967212891,15.795262930325688,16.605276413932135,16.605276413932135,0.2949117377152452,-0.376729826939972,-3321.055282786427,-82.3013483606447,82.3013483606447,INSURANCE_PARTIAL_MONETIZATION,I015
2025-04-15,I015,QQQ,17,insurance,CLOSE,put,1,450.0,2025-06-20,1,457.99,26.441911165043564,25.780863385917474,27.102958944169654,25.780863385917474,0.41294595997059624,-0.4101572905620355,2578.0863385917473,-66.75477791260899,66.75477791260899,INSURANCE_PARTIAL_MONETIZATION,I015
2025-04-15,I015,QQQ,17,insurance,CLOSE,put,-1,412.0,2025-06-20,1,457.99,15.006301546388869,14.631144007729148,15.38145908504859,15.38145908504859,0.46302930423002275,-0.2512327962234185,-1538.145908504859,-38.1657538659721,38.1657538659721,INSURANCE_PARTIAL_MONETIZATION,I015
2025-06-10,I015,QQQ,17,insurance,CLOSE,put,1,450.0,2025-06-20,4,534.21,4.4464597483972156e-05,0.0,0.010044464597483971,0.0,0.24506477789633294,-9.535635321413638e-06,0.0,-2.617785838993589,2.617785838993589,INSURANCE_DTE_ROLL,I015
2025-06-10,I015,QQQ,17,insurance,CLOSE,put,-1,412.0,2025-06-20,4,534.21,5.355389558337906e-09,0.0,0.010000005355389559,0.010000005355389559,0.2662126410961982,-1.413008269792518e-09,-4.000002142155823,-6.6,6.6,INSURANCE_DTE_ROLL,I015
2025-08-06,I015,QQQ,18,insurance,OPEN,put,1,532.0,2025-11-21,3,567.32,11.262942685486792,10.981369118349622,11.54451625262396,11.54451625262396,0.22938904553011774,-0.25094561832166407,-3463.3548757871877,-86.42207014115073,86.42207014115073,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2025-08-06,I015,QQQ,18,insurance,OPEN,put,-1,485.0,2025-11-21,3,567.32,3.913182952100051,3.8153533782975497,4.011012525902553,3.8153533782975497,0.25546018483347627,-0.0994130316169515,1144.6060134892648,-31.298872140750436,31.298872140750436,INSURANCE_MODEL_ENTRY_PUT_SPREAD,I015
2025-11-11,I015,QQQ,18,insurance,CLOSE,put,1,532.0,2025-11-21,3,621.57,0.0020150492581717805,0.0,0.01201504925817178,0.0,0.2757021695062503,-0.00027654310763756566,0.0,-2.5545147774515344,2.5545147774515344,INSURANCE_DTE_ROLL,I015
2025-11-11,I015,QQQ,18,insurance,CLOSE,put,-1,485.0,2025-11-21,3,621.57,1.5267171394177945e-06,0.0,0.010001526717139417,0.010001526717139417,0.3014150417491192,-2.6237940197453295e-07,-3.000458015141825,-4.95,4.95,INSURANCE_DTE_ROLL,I015
