date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason,assigned_shares,assigned_basis
2020-09-08,QQQ_v0_3_Full,QQQ,24,covered_call,OPEN,call,-1.0,295.0,2020-10-16,2,269.95,4.61122061428393,4.495940098926831,4.726501129641028,4.495940098926831,0.3765392759165519,0.25003859839740766,899.1880197853662,-24.35610307141972,24.35610307141972,GREED_EXHAUSTION_COVERED_CALL,,
2020-09-09,QQQ_v0_3_Full,QQQ,24,covered_call,CLOSE,call,-1.0,295.0,2020-10-16,2,277.88,6.2101286376612705,6.054875421719739,6.365381853602802,6.365381853602802,0.3594449891556651,0.319262719052119,-1273.0763707205604,-32.35064318830628,32.35064318830628,CALL_STATE_EXIT,,
2020-09-11,QQQ_v0_3_Full,QQQ,25,insurance,OPEN,put,1.0,234.0,2020-12-18,4,270.45,6.387534161530944,6.22784580749267,6.547222515569217,6.547222515569217,0.3716877884391531,-0.1997846337380108,-2618.889006227687,-66.47534161530936,66.47534161530936,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT,,
2020-09-14,QQQ_v0_3_Full,QQQ,25,insurance,CLOSE,put,1.0,234.0,2020-12-18,2,275.16,5.34274534563707,5.209176711996143,5.476313979277997,5.209176711996143,0.3730860065612771,-0.17337617879964506,1041.8353423992287,-28.01372672818535,28.01372672818535,INSURANCE_PARTIAL_MONETIZATION,,
2020-12-08,QQQ_v0_3_Full,QQQ,25,insurance,CLOSE,put,1.0,234.0,2020-12-18,2,308.29,4.265191386683561e-06,0.0,0.010004265191386684,0.0,0.35506918810211163,-1.186739592276715e-06,0.0,-1.3008530382773367,1.3008530382773367,INSURANCE_DTE_ROLL,,
2020-12-11,QQQ_v0_3_Full,QQQ,26,cash_secured_put,OPEN,put,-1.0,278.0,2021-01-15,6,301.85,3.520678313381943,3.432661355547394,3.6086952712164915,3.432661355547394,0.32896675944986314,-0.19628740716028126,2059.596813328437,-56.71017470072919,56.71017470072919,CONDITIONAL_ENTRY_CSP,,
2020-12-14,QQQ_v0_3_Full,QQQ,27,covered_call,OPEN,call,-1.0,328.0,2021-01-15,2,304.04,2.753791601423977,2.6849468113883774,2.8226363914595765,2.6849468113883774,0.2889109350290815,0.197949097029037,536.9893622776755,-15.068958007119903,15.068958007119903,GREED_EXHAUSTION_COVERED_CALL,,
2020-12-17,QQQ_v0_3_Full,QQQ,27,covered_call,CLOSE,call,-1.0,328.0,2021-01-15,2,311.0,3.3356156958674887,3.2522253034708015,3.419006088264176,3.419006088264176,0.26596578778135044,0.24908810913096105,-683.8012176528352,-17.978078479337444,17.978078479337444,CALL_STATE_EXIT,,
2020-12-24,QQQ_v0_3_Full,QQQ,26,cash_secured_put,CLOSE,put,-1.0,278.0,2021-01-15,6,309.56,0.6895938487350115,0.6723540025166362,0.7068336949533868,0.7068336949533868,0.29906919498643236,-0.0671258965060656,-424.10021697203206,-14.243907731025159,14.243907731025159,CSP_PROFIT_TARGET,,
2020-12-31,QQQ_v0_3_Full,QQQ,28,covered_call,OPEN,call,-1.0,338.0,2021-02-19,2,313.74,4.72269416265938,4.604626808592895,4.840761516725864,4.604626808592895,0.2828920114116588,0.25276933363796356,920.9253617185791,-24.9134708132969,24.9134708132969,GREED_EXHAUSTION_COVERED_CALL,,
